year,age_category,n
2002,total,1969
2003,total,1983
2004,total,1755
2005,total,1922
2006,total,1954
2007,total,1964
2008,total,1969
2009,total,1930
2010,<6,219
2010,6-10,397
2010,11-15,612
2010,16-17,328
2010,18+,370
2010,total,1926
2011,<6,203
2011,6-10,417
2011,11-15,598
2011,16-17,332
2011,18+,352
2011,total,1902
2012,<6,233
2012,6-10,415
2012,11-15,644
2012,16-17,376
2012,18+,305
2012,total,1973
2013,<6,269
2013,6-10,382
2013,11-15,648
2013,16-17,435
2013,18+,295
2013,total,2029
2014,<6,251
2014,6-10,358
2014,11-15,680
2014,16-17,502
2014,18+,317
2014,total,2108
2015,<6,261
2015,6-10,343
2015,11-15,631
2015,16-17,500
2015,18+,342
2015,total,2077
2016,<6,265
2016,6-10,317
2016,11-15,620
2016,16-17,475
2016,18+,302
2016,total,1979
2017,<6,281
2017,6-10,348
2017,11-15,620
2017,16-17,532
2017,18+,189
2017,total,1970
2018,<6,274
2018,6-10,379
2018,11-15,598
2018,16-17,547
2018,18+,172
2018,total,1970
2019,<6,309
2019,6-10,427
2019,11-15,625
2019,16-17,731
2019,18+,226
2019,total,2318
2020,<6,293
2020,6-10,430
2020,11-15,606
2020,16-17,556
2020,18+,335
2020,total,2220
2021,<6,229
2021,6-10,436
2021,11-15,618
2021,16-17,763
2021,18+,343
2021,total,2387
2022,<6,287
2022,6-10,464
2022,11-15,626
2022,16-17,615
2022,18+,347
2022,total,2339
